skill,prior,learn,guess,slip,n_sequences,n_obs,log_likelihood,iterations,reliable,flag_guess_ceiling,flag_low_learn,flag_high_prior,flag_sparse
155,0.7006,0.0252,0.4,0.2652,81.0,2362.0,-1442.5695,30.0,False,True,False,False,False
61,0.6489,0.2563,0.4,0.1931,74.0,582.0,-321.6591,26.0,False,True,False,False,False
157,0.7361,0.001,0.381,0.2217,51.0,627.0,-369.4554,48.0,False,False,True,False,False
158,0.8712,0.001,0.4,0.2618,73.0,2325.0,-1380.1654,19.0,False,True,True,False,False
63,0.928,0.0074,0.3307,0.25,94.0,2157.0,-1243.2513,21.0,False,False,True,True,False
130,0.6553,0.0825,0.4,0.3196,156.0,1532.0,-1008.4738,68.0,False,True,False,False,False
69,0.9713,0.0387,0.1644,0.3178,66.0,465.0,-293.8005,100.0,False,False,False,True,False
126,0.6845,0.2668,0.3623,0.3805,106.0,774.0,-523.7791,100.0,False,False,False,False,False
14,0.9751,0.001,0.4,0.1982,79.0,679.0,-345.0703,47.0,False,True,True,True,False
51,0.9251,0.1165,0.4,0.4,121.0,935.0,-633.9924,100.0,False,True,False,True,False
194,0.7881,0.037,0.4,0.3298,75.0,846.0,-551.4515,59.0,False,True,False,False,False
142,0.01,0.242,0.228,0.306,57.0,419.0,-268.7283,76.0,True,False,False,False,False
79,0.8026,0.4166,0.3263,0.3702,109.0,925.0,-616.0186,100.0,False,False,False,False,False
20,0.8628,0.5047,0.0248,0.274,94.0,868.0,-521.8202,100.0,True,False,False,False,False
21,0.8628,0.5047,0.0248,0.274,94.0,868.0,-521.8202,100.0,True,False,False,False,False
124,0.8746,0.0417,0.3131,0.4,113.0,854.0,-583.2646,100.0,False,False,False,False,False
128,0.5691,0.0896,0.4,0.2257,106.0,729.0,-458.4486,62.0,False,True,False,False,False
176,0.7822,0.0231,0.4,0.2293,87.0,2390.0,-1361.3722,22.0,False,True,False,False,False
169,0.056,0.2239,0.2906,0.2404,38.0,354.0,-224.7318,67.0,True,False,False,False,False
164,0.6531,0.001,0.3396,0.2329,48.0,560.0,-341.6284,26.0,False,False,True,False,False
97,0.2171,0.6529,0.4,0.4,111.0,713.0,-484.0525,100.0,False,True,False,False,False
165,0.8661,0.0207,0.4,0.2064,51.0,410.0,-228.6314,45.0,False,True,False,False,False
154,0.8614,0.1007,0.4,0.1457,35.0,325.0,-152.9579,16.0,False,True,False,False,False
166,0.7638,0.001,0.4,0.2444,45.0,465.0,-282.3461,39.0,False,True,True,False,False
171,0.8263,0.1167,0.4,0.1661,42.0,244.0,-127.9366,34.0,False,True,False,False,False
160,0.2419,0.1146,0.3443,0.2808,31.0,235.0,-158.3504,53.0,True,False,False,False,False
-1,0.01,0.001,0.001,0.4,2.0,9.0,-0.0342,4.0,False,False,True,False,True
300,0.3445,0.99,0.2726,0.0625,2.0,18.0,-5.1363,10.0,False,False,False,False,True
196,0.6191,0.4343,0.001,0.4,8.0,56.0,-37.9185,54.0,False,False,False,False,False
